bb_id,bb_name,bb_price,bb_weight
150502,Eggs - Table Tray,160.00,30 pcs
281204,Eggs - Regular,33.00,6 pcs
10001001,Chicken Breast - Boneless,345.00,1 kg
40072320,Eggs - Table Tray,66.00,12 pcs
1202271,Fresho Meat Chicken Breast - Boneless 500g  + Dabur Ginger Garlic Paste 200g,229.00,Combo
40050955,Table Eggs,148.00,30 pcs
40003817,Brown Egg - Veg Feed & Extra Albumen,65.00,6 pcs
40003814,Plus Egg - Veg Feed & No Bad Odur,55.00,6 pcs
40001173,Speciality Eggs - Nutri,50.00,6 pcs
279986,Speciality Eggs - Shakti,54.00,6 pcs
268193,Nuggets - Chicken,210.00,500 gm
40002823,Anytime - Chicken Boneless Breast,190.00,450 gm
40092369,Eggs - Free Range,110.00,6 pcs
20000960,Egg - Brun 'H' Organic,100.00,6 pcs
40019625,Sausages - Premium,200.00,500 gm
40001285,Free range eggs,150.00,6 nos
40125079,"Bacon - Pork, Prime",215.00,350 gm
40124078,Basa - Indian,465.00,1 kg
40049530,Chicken - Finger,225.00,500 gm
40049537,Chicken - Jumbo Hot Dog,270.00,500 gm
40059424,Chicken - Meatball,240.00,500 gm
40049542,Chicken - Popcorn,225.00,500 gm
40059417,Chicken - Salami Masala Sliced,225.00,500 gm
40059418,Chicken - Salami Plain Sliced,225.00,500 gm
40059421,Chicken - Seekh Kebab Hot & Spicy,450.00,1 kg
40059419,Chicken - Seekh Kebab,450.00,1 kg
40123644,Chicken Samosa,180.00,250 gm
40122448,Egg White - Cube,50.00,100 gm
40122449,Egg White - Cube,100.00,200 gm
40122450,Egg White - Cube,240.00,500 gm
40122451,Egg White - Liquid,125.00,250 ml
40122846,"Fish - Atlantic Salmon, Imported",590.00,200 gm
40122849,"Fish - Cod, Atlantic Fillet, Imported",720.00,200 gm
40087794,"Fish - Katla, Head",100.00,500 gm
40087792,"Fish - Rohu, Head",100.00,500 gm
40054390,Fish Fillet - Cat Fish(Singhara),350.00,500 gm
40075994,Fish Fillet - Tilapia,230.00,500 gm
40125058,Frankfurter - Chicken,180.00,300 gm
40125072,Frankfurter - Pork,210.00,300 gm
40125061,Ham - Chicken,205.00,300 gm
40125077,Ham - Pork,145.00,300 gm
40125076,"Ham - Pork, Luncheon",145.00,300 gm
40125069,"Kabab - Chicken, Cheesy Minty",260.00,450 gm
40125068,"Kabab - Chicken, Reshmi",235.00,450 gm
40122584,Keema - Peshawari,260.00,230 gm
40125067,"Mortadella - Chicken, Olive",190.00,300 gm
40124076,Organic Salmon,790.00,200 gm
40005334,Papda - Fish,240.00,500 gm
40125078,Pepperoni - Pork,175.00,300 gm
40122582,Popcorn - Mutton,120.00,160 gm
800361108,Pork - Bacon Skin Less,450.00,500 gms
800350709,Pork - Cheezy Porkies,140.00,200 gm
800350712,Pork - Cocktail Sausages,220.00,500 gm
800350710,Pork - Dinner Franks,150.00,250 gm
800350713,Pork - Frankfurters Sausages,220.00,500 gm
800350717,Pork - Ham Skinless,125.00,250 gm
800350714,Pork - Oxford Sausages,125.00,250 gm
