f2h_entity_id,f2hname,f2h_price,f2h_weight
709,Grouper / Reef Cod / Kalava (Large),498.0000,0.5000
710,Red Snapper / Chempalli / Rane (Large),598.0000,0.5000
713,Silver Pomfret / Avoli (Large),1399.0000,0.5000
716,Indian Salmon / Vazhmeen / Raavas / Gurjali (Medium),798.0000,0.5000
717,"Cobia / Motha (Similar to Seer Fish, Some Say That It Tastes Better)",698.0000,0.5000
718,Mahi Mahi,338.0000,0.5000
721,Pink Perch / Kilimeen / Sankara Meen / Thread Finned Bream (Large),298.0000,0.5000
723,Barracuda / Cheelavu (Large),398.0000,0.5000
724,White Fish / False Trevally / Parava,378.0000,0.5000
725,Pony Fish / Mullan,278.0000,0.5000
726,Sole Fish / Manthal / Repti (Large),398.0000,0.5000
733,Catla,198.0000,0.5000
734,Rohu,178.0000,0.5000
735,Snake Head Fish / Varaal / Bral / Kannan,598.0000,0.5000
736,Pearl Spot / Karimeen / Koral (Medium),538.0000,0.5000
738,Long Rayed Silver Biddy / Pranjil,398.0000,0.5000
752,Fresh Indian Baasa / Pangasius ,158.0000,0.5000
762,Tiger Prawn,798.0000,0.5000
778,Sword Fish,338.0000,0.5000
781,Boal Fish / Attu Vaala / Malli,398.0000,0.5000
786,Leather Jacket,298.0000,0.5000
789,Seer Fish / King Fish / Surmai / Neymeen / Vanjaram / Anjal (Large),938.0000,0.5000
792,Premium Wild Caught Prawn / Jhinga / Kazhanthan,538.0000,0.5000
794,Trevally / Vatta (Small),298.0000,0.5000
798,Blue Swimming Crab,498.0000,0.5000
799,Grouper / Reef Cod / Kalava (Medium),378.0000,0.5000
801,Shark (Small),399.0000,0.5000
802,Garfish / Kola (Large),358.0000,0.5000
808,Sail Fish / Ola Meen,358.0000,0.5000
810,Tuna / Choora / Choorai,258.0000,0.5000
823,Red Snapper / Chempalli / Rane (Large) - Fillet,1871.7400,0.5000
824,Red Snapper / Chempalli / Rane (Large) - Curry cut (May include head pieces),855.1400,0.5000
825,Grouper / Reef Cod / Kalava (Large) - Curry cut (May include head pieces),692.2200,0.5000
826,Grouper / Reef Cod / Kalava (Large) - Fillet,1309.7400,0.5000
829,Silver Pomfret / Avoli (Large) - Whole cleaned,2000.5700,0.5000
832,Indian Salmon / Vazhmeen / Raavas / Gurjali - Steaks,1332.6600,0.5000
833,Cobia / Motha - Steaks,1221.5000,0.5000
835,Mahi Mahi - Curry cut,534.0400,0.5000
839,Pink Perch / Kilimeen / Sankara Meen / Thread Finned Bream (Large) - Whole cleaned,426.1400,0.5000
841,Barracuda / Cheelavu - Steaks,620.8800,0.5000
842,White Fish / False Trevally / Parava - Whole cleaned,540.5400,0.5000
844,Sole Fish / Manthal / Repti (Large) - Whole cleaned,561.1800,0.5000
850,Pearl Spot / Karimeen / Koral (Medium) (80g to 150g) - Whole cleaned,790.8600,0.5000
851,Snake Head Fish / Varaal / Bral / Kannan - Whole cleaned,831.2200,0.5000
852,Catla - Curry cut (May include head pieces),302.9400,0.5000
853,Long Rayed Silver Biddy / Pranjil - Whole cleaned,664.4200,0.5000
871,Rohu - Curry cut (May include head pieces),270.5600,0.5000
872,Fresh Indian Baasa / Pangasius - Boneless Fillet 500g Pack,231.0000,1.0000
877,Tiger Prawn - Headless,1228.9200,0.5000
878,Tiger Prawn - Tail on,1532.1600,0.5000
879,Tiger Prawn - PUD (Peeled & Undeveined) Meat,1596.0000,0.5000
880,Tiger Prawn - Peeled & Deveined (PD) Meat,1659.8400,0.5000
889,Red Snapper / Chempalli / Rane (Large) - Whole cleaned,855.1400,3.0000
891,Catla - Whole cleaned,298.9800,1.0000
894,Rohu - Whole cleaned,247.4200,1.3000
896,Juicy Fresh Sword Fish Steak (250g pack),185.9000,1.0000
900,Leather Jacket - Whole cleaned,423.1600,0.6000
904,Seer Fish / King Fish / Surmai / Neymeen / Vanjaram (Large) - Steaks (2 to 5 slices),1435.1400,0.5000
912,Trevally / Vatta (Small) - Whole cleaned,414.2200,0.5000
913,Trevally / Vatta (Small) - Curry cut (May include head pieces),432.1000,0.5000
919,Reef Cod / Kalava (Medium) - Curry cut (May include head pieces),548.1000,0.5000
921,Shark - Curry cut,626.4300,0.5000
922,Garfish / Kola (Large) - Curry cut (May include head pieces),526.2600,0.5000
936,Silver Pomfret / Avoli (Large)  - Curry cut,2056.5300,0.5000
940,Cobia / Motha - Curry cut (May include head pieces),1095.8600,0.5000
945,Barracuda / Cheelavu - Curry cut (May include head pieces),525.3600,0.5000
947,Sail Fish / Ola Meen - Steaks,551.3200,0.5000
948,Sail Fish / Ola Meen - Curry cut,511.9400,0.5000
949,Tuna / Choora / Choorai - Curry Cut,459.2400,0.5000
966,Red Snapper / Chempalli / Rane (Large) - Whole,598.0000,4.0000
967,Grouper / Reef Cod / Kalava (Large) - Whole,498.0000,10.0000
970,Silver Pomfret / Avoli (Large) - Whole,1399.0000,0.5000
973,Indian Salmon / Vazhmeen / Raavas / Gurjali - Whole,798.0000,0.7000
974,Cobia / Motha - Whole,698.0000,7.0000
975,Mahi Mahi - Whole,338.0000,3.0000
978,Pink Perch / Kilimeen / Sankara Meen / Thread Finned Bream - Whole,298.0000,0.5000
980,Barracuda / Cheelavu - Whole,398.0000,10.0000
981,White Fish / False Trevally / Parava - Whole,378.0000,0.5000
982,Pony Fish / Mullan - Whole,278.0000,0.5000
983,Sole Fish / Manthal / Repti (Large) - Whole,398.0000,0.5000
987,Pearl spot / Karimeen / Koral (Medium) (80g to 150g) - Whole,538.0000,0.5000
988,Snake Head Fish / Varaal / Bral / Kannan - Whole,598.0000,0.5000
989,Catla - Whole,198.0000,1.3000
990,Long Rayed Silver Biddy / Pranjil - Whole,478.0000,0.5000
999,Rohu - Whole,178.0000,1.5000
1002,Tiger Prawn / Bagda Chingdi,798.0000,0.5000
1012,Leather Jacket - Whole,298.0000,0.5000
1015,Seer Fish / King Fish / Surmai / Neymeen / Vanjaram (Large) - Whole,938.0000,5.0000
1019,Trevally / Vatta (Small) - Whole,298.0000,0.5000
1022,Reef Cod / Kalava (Medium) - Whole,378.0000,0.6000
1025,Garfish / Kola (Large) - Whole,358.0000,2.5000
1033,Tuna / Choora - Whole,258.0000,2.0000
1059,Seer Fish / King Fish / Surmai / Neymeen / Vanjaram (Large) - Curry cut (With Skin),1322.5800,0.5000
1060,Large Catfish / Etta Koori,278.0000,0.5000
1063,Large Catfish / Etta Koori - Curry Cut,394.7600,0.5000
1067,Barracuda / Cheelavu (Small),298.0000,0.5000
1068,Barracuda / Cheelavu (Small) - Whole,298.0000,0.5000
1069,Barracuda / Cheelavu (Small) - whole Cleaned,411.2400,0.5000
1073,Horse Mackerel / Ayala Para / Vankada (Small),228.0000,0.5000
1075,Horse Mackerel / Ayala Para / Vankada - Whole Cleaned (includes head pieces),316.9200,0.5000
1079,Queen Fish / Leather Skin Fish,298.0000,0.5000
